R1;R2;R3;R4;R5;label
0.07;0.16;0.53;1.3;4.5;4
0.03;0.1;0.44;1.86;7.26;4
0.04;0.12;0.55;1.92;6.55;4
0.0;0.05;0.45;1.89;7.48;4
0.02;0.1;0.5;1.66;5.16;4
0.02;0.1;0.5;1.63;4.89;4
0.02;0.08;0.27;1.08;4.18;4
0.03;0.11;0.51;2.12;6.19;4
0.03;0.14;0.4;1.79;7.57;4
0.08;0.18;0.54;1.58;5.08;4
0.04;0.12;0.46;1.71;5.73;4
0.02;0.14;0.51;1.72;4.03;4
0.02;0.1;0.51;1.99;7.72;4
0.02;0.13;0.49;1.54;4.32;4
0.03;0.09;0.6;1.84;7.44;4
0.03;0.11;0.4;1.96;6.8;4
0.01;0.11;0.37;1.38;4.01;4
0.03;0.11;0.43;1.8;5.25;4
0.07;0.18;0.42;1.36;4.64;4
0.02;0.07;0.22;1.04;3.87;4
0.07;0.18;0.65;1.97;5.21;4
0.03;0.11;0.37;1.15;3.39;4
0.03;0.13;0.44;1.43;3.85;4
0.02;0.14;0.51;1.65;5.43;4
0.04;0.13;0.52;2.24;6.39;4
0.06;0.15;0.57;2.01;6.48;4
0.04;0.16;0.57;2.04;7.53;4
0.02;0.07;0.33;1.23;4.3;4
0.03;0.12;0.56;2.03;7.45;4
0.01;0.1;0.45;1.85;6.93;4
0.04;0.1;0.57;2.11;7.3;4
0.01;0.11;0.64;2.09;7.32;4
0.01;0.05;0.21;0.99;3.75;4
0.03;0.11;0.38;1.07;3.37;4
